learning_rate,max_depth,alpha,lambda,avg_val_auc_pr,avg_train_auc_pr
0.01,1,0,1,0.20360983476104483,0.24543309939170338
0.01,2,0,1,0.23956308610526428,0.33813628524617334
0.01,3,0,1,0.22792225635730187,0.3628808104192965
0.01,4,0,1,0.30785263030159016,0.5251475199972663
0.01,5,0,1,0.33905703232433754,0.5560239608437061
0.01,6,0,1,0.33149617627785405,0.6506891852960774
0.060000000000000005,1,0,1,0.23816433216027408,0.3249997903309692
0.060000000000000005,2,0,1,0.2805328541326679,0.4826777016608652
0.060000000000000005,3,0,1,0.2970592022811474,0.5944275652636218
0.060000000000000005,4,0,1,0.33959705373728705,0.6962981754885711
0.060000000000000005,5,0,1,0.36417002569169354,0.7827992292201895
0.060000000000000005,6,0,1,0.3736082538877485,0.8445448963546991
0.11,1,0,1,0.23864500755690274,0.33363771431087486
0.11,2,0,1,0.2934404907660736,0.5626080619805344
0.11,3,0,1,0.32575008337039124,0.7026430311571303
0.11,4,0,1,0.3691982876045736,0.8062742510279313
0.11,5,0,1,0.3529117095803329,0.8312719095337897
0.11,6,0,1,0.35459651198005065,0.8992574194476983
0.16000000000000003,1,0,1,0.2352465982435282,0.35023878548117127
0.16000000000000003,2,0,1,0.299797082062613,0.6015556587635642
0.16000000000000003,3,0,1,0.29941686030545595,0.6894879595758494
0.16000000000000003,4,0,1,0.35908691808641047,0.8399750178999504
0.16000000000000003,5,0,1,0.3632846494372406,0.869872216081651
0.16000000000000003,6,0,1,0.3722833300252998,0.9489621939876566
0.21000000000000002,1,0,1,0.2425034499113651,0.3561968469641187
0.21000000000000002,2,0,1,0.2902879948709326,0.5942123955687991
0.21000000000000002,3,0,1,0.29585450191512247,0.71180718470244
0.21000000000000002,4,0,1,0.38889620626193055,0.8529635785419261
0.21000000000000002,5,0,1,0.36877409990576887,0.9049608334475681
0.21000000000000002,6,0,1,0.36188786197120504,0.9644644465653013
0.26,1,0,1,0.239178470893494,0.3642351886392891
0.26,2,0,1,0.31827089545721227,0.6540204841687844
0.26,3,0,1,0.33543335804922614,0.7581165871962516
0.26,4,0,1,0.37353066643839394,0.8857892198323011
0.26,5,0,1,0.3713948491903309,0.933021269652628
0.26,6,0,1,0.36820922846481496,0.9724782294986334
0.31000000000000005,1,0,1,0.24177426043280445,0.3752086211058265
0.31000000000000005,2,0,1,0.29814175881721855,0.6347639092643457
0.31000000000000005,3,0,1,0.31879223006755236,0.7826833698594841
0.31000000000000005,4,0,1,0.34127687785012684,0.9056839625462402
0.31000000000000005,5,0,1,0.3308751216862761,0.9312122617135932
0.31000000000000005,6,0,1,0.3620526196715206,0.9730405533374178
0.36000000000000004,1,0,1,0.24757536689958548,0.38074879953233914
0.36000000000000004,2,0,1,0.28336198310360905,0.6465803834386238
0.36000000000000004,3,0,1,0.3440285337246313,0.8053050750884276
0.36000000000000004,4,0,1,0.3559910854685869,0.8777573714490531
0.36000000000000004,5,0,1,0.3523761681552445,0.9122973533318076
0.36000000000000004,6,0,1,0.3380285737233805,0.9572984891570414
0.41000000000000003,1,0,1,0.24849942615446774,0.3781273623950409
0.41000000000000003,2,0,1,0.30864830875400784,0.650535641971987
0.41000000000000003,3,0,1,0.34048583222444123,0.7772603700002604
0.41000000000000003,4,0,1,0.34055318395930323,0.9009459263592721
0.41000000000000003,5,0,1,0.33104031579933135,0.9348760028155793
0.41000000000000003,6,0,1,0.3331799380734347,0.9572088520721309
0.46,1,0,1,0.2383625681217028,0.37745597094021777
0.46,2,0,1,0.2654737302329583,0.6838205737925863
0.46,3,0,1,0.3462735442166672,0.7922730250761004
0.46,4,0,1,0.36059843253379037,0.9125829481982979
0.46,5,0,1,0.3330257368579073,0.9342622522634366
0.46,6,0,1,0.32735800129693926,0.9647235182841083
0.51,1,0,1,0.2556101960266934,0.39040269509467906
0.51,2,0,1,0.27406146893047006,0.6555502617384723
0.51,3,0,1,0.3558371506658438,0.8443288508442576
0.51,4,0,1,0.37407755129865217,0.9107881019391451
0.51,5,0,1,0.3045078832842667,0.9315359746355509
0.51,6,0,1,0.328660599443463,0.9723941605510612
0.56,1,0,1,0.2461308248319925,0.3902362125720041
0.56,2,0,1,0.23549913828900632,0.6225878687375586
0.56,3,0,1,0.30282258731312306,0.8204279010760939
0.56,4,0,1,0.2936527064372515,0.8811654152357111
0.56,5,0,1,0.3409801125378276,0.9454902849671878
0.56,6,0,1,0.30852892002584953,0.9819098719267583
0.6100000000000001,1,0,1,0.25760674884288093,0.39725769445335646
0.6100000000000001,2,0,1,0.26741079240315413,0.6753474312253488
0.6100000000000001,3,0,1,0.2990472438304915,0.8009651028319226
0.6100000000000001,4,0,1,0.3233850327160946,0.9242902642675797
0.6100000000000001,5,0,1,0.27292476087567846,0.9383885210860962
0.6100000000000001,6,0,1,0.29434619856239347,0.9754660361874177
0.66,1,0,1,0.25464507777185025,0.400422522787229
0.66,2,0,1,0.28485268123877366,0.6848290801954742
0.66,3,0,1,0.2855382022925647,0.7913763848340297
0.66,4,0,1,0.3535848966256395,0.9070429849951795
0.66,5,0,1,0.3215664703076552,0.9421724750044909
0.66,6,0,1,0.30817249685657333,0.9898354682567044
0.7100000000000001,1,0,1,0.26663529455062346,0.4050607287030921
0.7100000000000001,2,0,1,0.34501043117135105,0.6895346255322983
0.7100000000000001,3,0,1,0.30278716569551467,0.8335366725577458
0.7100000000000001,4,0,1,0.2970054639004541,0.873189754343502
0.7100000000000001,5,0,1,0.32878886417511327,0.9561250687331068
0.7100000000000001,6,0,1,0.291496921088562,0.9867000890050897
0.76,1,0,1,0.26011569782796345,0.39794262002258046
0.76,2,0,1,0.3043272714262665,0.7007078848593585
0.76,3,0,1,0.2647003727170459,0.7964305682058551
0.76,4,0,1,0.316002540054296,0.9333802729991392
0.76,5,0,1,0.30759504843332097,0.9521041920257061
0.76,6,0,1,0.29709738911335226,0.9816806484301667
0.81,1,0,1,0.2613145812831045,0.39501160887582704
0.81,2,0,1,0.30765083623781675,0.6864785105900454
0.81,3,0,1,0.2987468225333241,0.8320231541494911
0.81,4,0,1,0.33961628218507733,0.9157639586267301
0.81,5,0,1,0.28882749081860953,0.9392882502397534
0.81,6,0,1,0.3056705559029708,0.9870224304974398
0.8600000000000001,1,0,1,0.2597188217971013,0.4017742431713482
0.8600000000000001,2,0,1,0.31223944731967934,0.719341063422346
0.8600000000000001,3,0,1,0.26978610059791286,0.8290213468243115
0.8600000000000001,4,0,1,0.2680521996623175,0.888755679590027
0.8600000000000001,5,0,1,0.2967954493556917,0.9497655292769288
0.8600000000000001,6,0,1,0.29485652651021627,0.9879213636437207
0.91,1,0,1,0.27123188410718985,0.4080610865033171
0.91,2,0,1,0.35320097026558395,0.7190218134704425
0.91,3,0,1,0.26472204672347543,0.8234257324358575
0.91,4,0,1,0.2533970645655225,0.8910951694587206
0.91,5,0,1,0.3207311214655223,0.9486464887501637
0.91,6,0,1,0.2562901398561686,0.981460020947798
0.9600000000000001,1,0,1,0.2643284089301167,0.3962511105155041
0.9600000000000001,2,0,1,0.2969475567661643,0.6780039777088805
0.9600000000000001,3,0,1,0.3083190258193651,0.8347834762634537
0.9600000000000001,4,0,1,0.26618771678785796,0.9290587528342871
0.9600000000000001,5,0,1,0.28935538382708986,0.9496257647934698
0.9600000000000001,6,0,1,0.2860138468728926,0.9901696803341581
1.01,1,0,1,0.26565727790389554,0.39974224673188363
1.01,2,0,1,0.25857469706124403,0.6730157757869323
1.01,3,0,1,0.2503237501661952,0.7708904628300234
1.01,4,0,1,0.2760337560874405,0.8994696974324775
1.01,5,0,1,0.2934691783785389,0.9402205486854104
1.01,6,0,1,0.2739552265438717,0.989865214384338
0.21,4,0,1,0.38889620626193055,0.8529635785419261
0.21,4,0,1,0.38889620626193055,0.8529635785419261
